"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16412","11G. Should sort the budget proposal comments","budget proposal","Tue May 19 05:18:05 UTC 2026","passed","Tue May 19 05:18:22 UTC 2026","Budget proposal logged in state","11-proposal-budget/proposalBudget.loggedin.pb.spec.ts","",""
"","2520","3D. Verify DRep registration form","loggedin (desktop)","Tue May 19 05:23:45 UTC 2026","passed","Tue May 19 05:23:48 UTC 2026","","3-drep-registration/dRepRegistration.loggedin.spec.ts","",""
"","4004","2Q. Should include DRep status and voting power on the DRep card","independent (desktop)","Tue May 19 04:55:17 UTC 2026","passed","Tue May 19 04:55:21 UTC 2026","DRep dependent tests","2-delegation/delegation.spec.ts","",""
"","10714","12D_3. Should verify all field of “proposal details” section","budget proposal","Tue May 19 05:19:14 UTC 2026","passed","Tue May 19 05:19:25 UTC 2026","Budget proposal 01 wallet > Budget proposal with proposalSubmissionPageNavigation > Budget proposal field verification","12-proposal-budget-submission/proposalBudgetSubmission.loggedin.pb.spec.ts","",""
"","68963","7E_1. Should accept valid data in info action proposal form","proposal discussion (loggedin)","Tue May 19 05:09:08 UTC 2026","failed","Tue May 19 05:10:17 UTC 2026","Proposal created logged state > Accept valid data","7-proposal-submission/proposalSubmission.loggedin.pd.spec.ts","",""
"","10157","3J. Should verify retire as DRep","dRep","Tue May 19 05:45:39 UTC 2026","passed","Tue May 19 05:45:49 UTC 2026","Temporary DReps","3-drep-registration/dRepRegistration.dRep.spec.ts","",""
"","6340","4B_1. Should restrict voting for users who are not registered as DReps (with wallet connected)","loggedin (desktop)","Tue May 19 05:24:28 UTC 2026","passed","Tue May 19 05:24:34 UTC 2026","","4-proposal-visibility/proposalVisibility.loggedin.spec.ts","",""
"","5636","5C. Should show required field in proposal voting on registered as DRep","dRep","Tue May 19 05:46:34 UTC 2026","passed","Tue May 19 05:46:40 UTC 2026","Proposal checks","5-proposal-functionality/proposalFunctionality.dRep.spec.ts","",""
"","6292","9A_2. Should access Outcomes page in connected state","loggedin (desktop)","Tue May 19 05:24:50 UTC 2026","passed","Tue May 19 05:24:56 UTC 2026","Outcomes page","9-outcomes/outcomes.loggedin.spec.ts","",""
"","21141","11B_3. Should sort budget proposals","mobile","Tue May 19 04:58:29 UTC 2026","passed","Tue May 19 04:58:50 UTC 2026","Budget proposal list manipulation > Filter and sort budget proposals","11-proposal-budget/proposalBudget.spec.ts","",""
"","6811","9C_3B. Should filter and sort Governance Action Type on outcomes page","loggedin (desktop)","Tue May 19 05:25:00 UTC 2026","passed","Tue May 19 05:25:07 UTC 2026","Outcomes page > outcome sorting and filtering","9-outcomes/outcomes.loggedin.spec.ts","",""
"","7148","3F. Should create proper DRep registration request, when registered with data","loggedin (desktop)","Tue May 19 05:24:17 UTC 2026","passed","Tue May 19 05:24:24 UTC 2026","","3-drep-registration/dRepRegistration.loggedin.spec.ts","",""
"","5745","10B. Should verify a bug report form","mobile","Tue May 19 04:58:07 UTC 2026","passed","Tue May 19 04:58:13 UTC 2026","","10-user-snap/userSnap.spec.ts","",""
"","6468","Create AdaHolder 06 auth","adaholder auth setup","Tue May 19 05:08:56 UTC 2026","passed","Tue May 19 05:09:03 UTC 2026","","adaholder.auth.setup.ts","",""
"","2448","2C. Should open wallet connection popup on delegate in disconnected state","mobile","Tue May 19 04:59:13 UTC 2026","passed","Tue May 19 04:59:15 UTC 2026","DRep dependent tests","2-delegation/delegation.spec.ts","",""
"","14388","12G. Should validate and review submitted budget proposal","budget proposal","Tue May 19 05:20:15 UTC 2026","passed","Tue May 19 05:20:29 UTC 2026","Budget proposal 01 wallet > Budget proposal with proposalSubmissionPageNavigation","12-proposal-budget-submission/proposalBudgetSubmission.loggedin.pb.spec.ts","",""
"","2483","2Y_1. Should correctly convert CIP-129/CIP-105 script drep","mobile","Tue May 19 04:59:18 UTC 2026","passed","Tue May 19 04:59:21 UTC 2026","","2-delegation/delegation.spec.ts","",""
"","175","Clean up generated files and folders","cleanup artifacts","Tue May 19 05:54:29 UTC 2026","passed","Tue May 19 05:54:29 UTC 2026","","generated-artifacts.teardown.ts","",""
"","5073","9F_1. Should load more Outcomes on show more in disconnect state","independent (desktop)","Tue May 19 04:57:33 UTC 2026","passed","Tue May 19 04:57:38 UTC 2026","Outcomes page","9-outcomes/outcomes.spec.ts","",""
"","18881","7D_1. Verify info action proposal form","proposal discussion (loggedin)","Tue May 19 05:12:04 UTC 2026","passed","Tue May 19 05:12:23 UTC 2026","Proposal created logged state > Verify Proposal form","7-proposal-submission/proposalSubmission.loggedin.pd.spec.ts","",""
"","88157","7E_2. Should accept valid data in treasury requests proposal form","proposal discussion (loggedin)","Tue May 19 05:09:09 UTC 2026","failed","Tue May 19 05:10:37 UTC 2026","Proposal created logged state > Accept valid data","7-proposal-submission/proposalSubmission.loggedin.pd.spec.ts","",""
"","6001","11A. Should access budget proposal page in disconnect state","independent (desktop)","Tue May 19 04:54:38 UTC 2026","passed","Tue May 19 04:54:44 UTC 2026","","11-proposal-budget/proposalBudget.spec.ts","",""
"","2700","3B. Should access DRep registration page","loggedin (desktop)","Tue May 19 05:23:45 UTC 2026","passed","Tue May 19 05:23:47 UTC 2026","","3-drep-registration/dRepRegistration.loggedin.spec.ts","",""
"","8690","2P. Should enable sharing of DRep details","independent (desktop)","Tue May 19 04:55:16 UTC 2026","passed","Tue May 19 04:55:25 UTC 2026","DRep dependent tests","2-delegation/delegation.spec.ts","",""
"","159954","Setup temporary DRep wallets","dRep setup","Tue May 19 05:09:07 UTC 2026","passed","Tue May 19 05:11:47 UTC 2026","","dRep.setup.ts","",""
"","2572","2M. Should access dRep directory page on disconnected state","independent (desktop)","Tue May 19 04:55:14 UTC 2026","passed","Tue May 19 04:55:17 UTC 2026","","2-delegation/delegation.spec.ts","",""
"","7743","9F_2. Should load more Outcomes on show more","loggedin (desktop)","Tue May 19 05:25:06 UTC 2026","passed","Tue May 19 05:25:13 UTC 2026","Outcomes page","9-outcomes/outcomes.loggedin.spec.ts","",""
"","7034","Create AdaHolder 02 auth","adaholder auth setup","Tue May 19 05:08:58 UTC 2026","passed","Tue May 19 05:09:05 UTC 2026","","adaholder.auth.setup.ts","",""
"","12135","Create DRep 03 auth with username","budget proposal auth setup","Tue May 19 04:53:44 UTC 2026","passed","Tue May 19 04:53:56 UTC 2026","","proposal-budget.auth.setup.ts","",""
"","5275","5A. Should show relevant details about governance action as DRep","dRep","Tue May 19 05:46:29 UTC 2026","passed","Tue May 19 05:46:34 UTC 2026","Proposal checks","5-proposal-functionality/proposalFunctionality.dRep.spec.ts","",""
"","8952","4K. Should display correct vote counts on governance details page for disconnect state","independent (desktop)","Tue May 19 04:56:11 UTC 2026","passed","Tue May 19 04:56:20 UTC 2026","","4-proposal-visibility/proposalVisibility.spec.ts","",""
"","5618","Create DRep 02 auth","dRep auth setup","Tue May 19 04:53:23 UTC 2026","passed","Tue May 19 04:53:29 UTC 2026","","dRep.auth.setup.ts","",""
"","180572","7C. Should list unfinished Draft","proposal discussion (loggedin)","Tue May 19 05:12:23 UTC 2026","broken","Tue May 19 05:15:24 UTC 2026","Proposal Draft","7-proposal-submission/proposalSubmission.loggedin.pd.spec.ts","",""
"","7346","2I. Should check validity of DRep Id","loggedin (desktop)","Tue May 19 05:23:37 UTC 2026","passed","Tue May 19 05:23:45 UTC 2026","DRep dependent tests","2-delegation/delegation.loggedin.spec.ts","",""
"","4394","4H. Should verify none of the displayed governance actions have expired","independent (desktop)","Tue May 19 04:56:07 UTC 2026","passed","Tue May 19 04:56:11 UTC 2026","","4-proposal-visibility/proposalVisibility.spec.ts","",""
"","6273","Create AdaHolder 01 auth","adaholder auth setup","Tue May 19 05:08:58 UTC 2026","passed","Tue May 19 05:09:04 UTC 2026","","adaholder.auth.setup.ts","",""
"","7130","9H_2A: Should display ""Data Missing"" message in outcomes when metadata URL could not be found. in disconnect state","mobile","Tue May 19 05:03:29 UTC 2026","passed","Tue May 19 05:03:36 UTC 2026","Outcome details > Invalid Outcome Metadata","9-outcomes/outcomes.spec.ts","",""
"","180524","10D. Should report an issue","independent (desktop)","Tue May 19 04:54:37 UTC 2026","broken","Tue May 19 04:57:37 UTC 2026","Submit Usersnap","10-user-snap/userSnap.spec.ts","",""
"","2832","2Y_1. Should correctly convert CIP-129/CIP-105 script drep","independent (desktop)","Tue May 19 04:55:21 UTC 2026","passed","Tue May 19 04:55:23 UTC 2026","","2-delegation/delegation.spec.ts","",""
"","2195","3C. Should open wallet connection popup on DRep registration in disconnected state","mobile","Tue May 19 04:59:23 UTC 2026","passed","Tue May 19 04:59:25 UTC 2026","","3-drep-registration/dRepRegistration.spec.ts","",""
"","109989","7H_4. Should submit a motion of no confidence proposal as governance action","proposal submission","Tue May 19 05:43:47 UTC 2026","failed","Tue May 19 05:45:37 UTC 2026","","7-proposal-submission/proposalSubmission.ga.spec.ts","",""
"","542029","7N. Should submit a draft proposal","proposal discussion (loggedin)","Tue May 19 05:15:26 UTC 2026","broken","Tue May 19 05:24:28 UTC 2026","Proposal Draft","7-proposal-submission/proposalSubmission.loggedin.pd.spec.ts","",""
"","18581","7D_2. Verify treasury requests proposal form","proposal discussion (loggedin)","Tue May 19 05:12:05 UTC 2026","passed","Tue May 19 05:12:24 UTC 2026","Proposal created logged state > Verify Proposal form","7-proposal-submission/proposalSubmission.loggedin.pd.spec.ts","",""
"","18200","8P. Should add poll on own proposal","proposal discussion (loggedin)","Tue May 19 05:17:25 UTC 2026","passed","Tue May 19 05:17:43 UTC 2026","Proposal created with poll enabled (proposal auth)","8-proposal-discussion/proposalDiscussion.loggedin.pd.spec.ts","",""
"","72303","7E_4. Should accept valid data in motion of no confidence proposal form","proposal discussion (loggedin)","Tue May 19 05:09:32 UTC 2026","failed","Tue May 19 05:10:45 UTC 2026","Proposal created logged state > Accept valid data","7-proposal-submission/proposalSubmission.loggedin.pd.spec.ts","",""
"","14838","7D_4. Verify motion of no confidence proposal form","proposal discussion (loggedin)","Tue May 19 05:12:23 UTC 2026","passed","Tue May 19 05:12:38 UTC 2026","Proposal created logged state > Verify Proposal form","7-proposal-submission/proposalSubmission.loggedin.pd.spec.ts","",""
"","19111","Create Proposal 09 auth","proposal discussion auth setup","Tue May 19 04:54:13 UTC 2026","passed","Tue May 19 04:54:32 UTC 2026","","proposal-discussion.auth.setup.ts","",""
"","33702","3Q Should not list dRep in the dRep directory when 'doNotList' is checked during registration","dRep","Tue May 19 05:45:35 UTC 2026","passed","Tue May 19 05:46:09 UTC 2026","Temporary DReps","3-drep-registration/dRepRegistration.dRep.spec.ts","",""
"","4436","1D. Should reject wallet connection if on different network","independent (desktop)","Tue May 19 04:54:31 UTC 2026","passed","Tue May 19 04:54:35 UTC 2026","","1-wallet-connect/walletConnect.spec.ts","",""
"","6096","9D_1. Should copy governanceActionId in disconnect state","mobile","Tue May 19 05:03:15 UTC 2026","passed","Tue May 19 05:03:21 UTC 2026","Outcomes page > Outcome details dependent test","9-outcomes/outcomes.spec.ts","",""
"","111061","3E_2. Should reject invalid data in DRep form","loggedin (desktop)","Tue May 19 05:23:48 UTC 2026","passed","Tue May 19 05:25:39 UTC 2026","Validation of dRep Registration Form","3-drep-registration/dRepRegistration.loggedin.spec.ts","",""
"","6596","2K_1. Should filter DReps","mobile","Tue May 19 04:59:03 UTC 2026","passed","Tue May 19 04:59:10 UTC 2026","","2-delegation/delegation.spec.ts","",""
"","20566","7I_1. Should valid review submission in info action Proposal form","proposal discussion (loggedin)","Tue May 19 05:11:44 UTC 2026","passed","Tue May 19 05:12:04 UTC 2026","Proposal created logged state > Review fillup form","7-proposal-submission/proposalSubmission.loggedin.pd.spec.ts","",""
"","7595","9H_1A: Should display ""Data Missing"" message in outcomes when hash is valid but incorrect metadata format. in disconnect state","mobile","Tue May 19 05:03:21 UTC 2026","passed","Tue May 19 05:03:29 UTC 2026","Outcome details > Invalid Outcome Metadata","9-outcomes/outcomes.spec.ts","",""
"","26582","12F_1. Should reject invalid data in “Proposal Ownership” section","budget proposal","Tue May 19 05:20:58 UTC 2026","passed","Tue May 19 05:21:25 UTC 2026","Budget proposal 01 wallet > Budget proposal with proposalSubmissionPageNavigation > Budget proposal field validation","12-proposal-budget-submission/proposalBudgetSubmission.loggedin.pb.spec.ts","",""
"","31680","Register DRep of proposal budget static wallets","budget proposal dRep setup","Tue May 19 04:53:22 UTC 2026","passed","Tue May 19 04:53:54 UTC 2026","","proposal-budget.dRep.setup.ts","",""
"","540891","4C_2. Should sort Governance Action Type on governance actions page","mobile","Tue May 19 04:59:38 UTC 2026","broken","Tue May 19 05:08:39 UTC 2026","","4-proposal-visibility/proposalVisibility.spec.ts","",""
"","11313","12D_5. Should verify all field of “further information” section","budget proposal","Tue May 19 05:19:36 UTC 2026","passed","Tue May 19 05:19:47 UTC 2026","Budget proposal 01 wallet > Budget proposal with proposalSubmissionPageNavigation > Budget proposal field verification","12-proposal-budget-submission/proposalBudgetSubmission.loggedin.pb.spec.ts","",""
"","4298","9H_3A: Should display ""Data Missing"" message in outcomes when metadata hash and URL do not match. in disconnect state","mobile","Tue May 19 05:03:32 UTC 2026","passed","Tue May 19 05:03:36 UTC 2026","Outcome details > Invalid Outcome Metadata","9-outcomes/outcomes.spec.ts","",""
"","79565","7F_2. Should reject invalid data in treasury requests Proposal form","proposal discussion (loggedin)","Tue May 19 05:10:24 UTC 2026","passed","Tue May 19 05:11:44 UTC 2026","Proposal created logged state > Reject invalid  data","7-proposal-submission/proposalSubmission.loggedin.pd.spec.ts","",""
"","89711","11B_2. Should filter budget proposals by categories","mobile","Tue May 19 04:58:22 UTC 2026","passed","Tue May 19 04:59:52 UTC 2026","Budget proposal list manipulation > Filter and sort budget proposals","11-proposal-budget/proposalBudget.spec.ts","",""
"","10840","4F. Should Disable DRep functionality upon wallet disconnection on governance actions page","dRep","Tue May 19 05:46:27 UTC 2026","passed","Tue May 19 05:46:38 UTC 2026","","4-proposal-visibility/proposalVisibility.dRep.spec.ts","",""
"","90776","7E_3. Should accept valid data in updates to the constitution proposal form","proposal discussion (loggedin)","Tue May 19 05:09:13 UTC 2026","failed","Tue May 19 05:10:44 UTC 2026","Proposal created logged state > Accept valid data","7-proposal-submission/proposalSubmission.loggedin.pd.spec.ts","",""
"","180795","7O. Should display insufficient balance modal when submitting proposal with insufficient funds","proposal discussion (loggedin)","Tue May 19 05:12:30 UTC 2026","broken","Tue May 19 05:15:30 UTC 2026","Proposal created logged state","7-proposal-submission/proposalSubmission.loggedin.pd.spec.ts","",""
"","163167","2V. Should show delegated voting power to No confidence","delegation","Tue May 19 05:51:11 UTC 2026","failed","Tue May 19 05:53:55 UTC 2026","No confidence delegation","2-delegation/delegationFunctionality.delegation.spec.ts","",""
