"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","2. Delegation","0","","9","2","","0"
"0","Setup","0","","19","0","Authentication","0"
"0","Setup","0","","1","0","Proposal","0"
"0","1. Wallet connect","0","","4","0","","0"
"3","11. Proposal Budget","0","","4","0","","0"
"0","4. Proposal visibility","0","","5","0","","0"
"4","10. User Snap","1","","0","0","","0"
"0","3. DRep registration","0","","1","0","","0"
"0","Setup","1","","0","0","Wallet bootstrap","0"
"1","Setup","0","","0","0","Register DRep","0"
"0","12. Proposal Budget Submission","0","","1","0","","0"
