"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","5. Proposal functionality","0","","3","0","","0"
"0","","0","","0","30","","0"
"0","Setup","0","","26","0","Authentication","0"
"0","11. Proposal Budget","2","","14","0","","0"
"0","9. Outcomes","12","","14","0","","0"
"0","12. Proposal Budget Submission","0","","28","0","","0"
"8","6. Miscellaneous","16","","44","2","6A. Should be accessible from mobile","0"
"4","7. Proposal submission","7","","23","4","","0"
"4","4. Proposal visibility","3","","8","0","","0"
"0","3. DRep registration","0","","10","0","","0"
"4","10. User Snap","1","","0","0","","0"
"0","8. Proposal Discussion Forum","3","","14","0","","0"
"0","2. Delegation","1","","15","12","","0"
"0","Setup","0","","1","0","Wallet bootstrap","0"
"0","6. Miscellaneous","1","","9","0","","0"
"0","1. Wallet connect","0","","5","0","","0"
"0","Setup","1","","2","0","Register DRep","0"
"0","Setup","1","","3","0","Cleanup","0"
"0","Setup","0","","1","0","Proposal","0"
