"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","231","2O. Should load more DReps on show more (Deprecated)","mobile","Thu May 07 07:02:30 UTC 2026","skipped","Thu May 07 07:02:31 UTC 2026","","2-delegation/delegation.spec.ts","",""
"","180419","12F_2. Should reject invalid data in “problem statements and proposal benefits” section","budget proposal","Thu May 07 07:55:52 UTC 2026","broken","Thu May 07 07:58:53 UTC 2026","Budget proposal 01 wallet > Budget proposal with proposalSubmissionPageNavigation > Budget proposal field validation","12-proposal-budget-submission/proposalBudgetSubmission.loggedin.pb.spec.ts","",""
"","180","Clean up generated files and folders","cleanup artifacts","Thu May 07 08:20:58 UTC 2026","passed","Thu May 07 08:20:58 UTC 2026","","generated-artifacts.teardown.ts","",""
"","0","3J. Should verify retire as DRep","dRep","Thu May 07 08:22:31 UTC 2026","skipped","Thu May 07 08:22:31 UTC 2026","Temporary DReps","3-drep-registration/dRepRegistration.dRep.spec.ts","",""
"","3906","11A. Should access budget proposal page in disconnect state","independent (desktop)","Thu May 07 06:41:00 UTC 2026","passed","Thu May 07 06:41:04 UTC 2026","","11-proposal-budget/proposalBudget.spec.ts","",""
"","9688","4P_2: Should display Data Missing message in live voting when metadata URL could not be found.","independent (desktop)","Thu May 07 06:50:22 UTC 2026","passed","Thu May 07 06:50:31 UTC 2026","Invalid Live voting Metadata","4-proposal-visibility/proposalVisibility.spec.ts","",""
"","7653","9B_1. Should search outcomes proposal by title and id in disconnect state","mobile","Thu May 07 07:14:05 UTC 2026","passed","Thu May 07 07:14:13 UTC 2026","Outcomes page > Outcome details dependent test","9-outcomes/outcomes.spec.ts","",""
"","180435","11B_1. Should search for budget proposals by title","mobile","Thu May 07 07:00:44 UTC 2026","broken","Thu May 07 07:03:44 UTC 2026","Budget proposal list manipulation","11-proposal-budget/proposalBudget.spec.ts","",""
"","6639","Create DRep 02 auth","dRep auth setup","Thu May 07 06:39:14 UTC 2026","passed","Thu May 07 06:39:21 UTC 2026","","dRep.auth.setup.ts","",""
"","1","5L. Should update context on an already voted governance action without changing the vote","dRep","Thu May 07 08:22:31 UTC 2026","skipped","Thu May 07 08:22:31 UTC 2026","Perform voting","5-proposal-functionality/proposalFunctionality.dRep.spec.ts","",""
"","65823","8D. Should show the view-all categorized proposed governance actions.","mobile","Thu May 07 07:09:52 UTC 2026","passed","Thu May 07 07:10:58 UTC 2026","","8-proposal-discussion/proposalDiscussion.spec.ts","",""
"","4231","11F_1. Should restrict users without wallets from commenting","mobile","Thu May 07 07:02:08 UTC 2026","passed","Thu May 07 07:02:12 UTC 2026","Restricted access to interact budget proposal","11-proposal-budget/proposalBudget.spec.ts","",""
